Date,Value
26/10/2017,1.170275015
25/10/2017,1.181055864
24/10/2017,1.176193837
23/10/2017,1.174536058
20/10/2017,1.178689298
19/10/2017,1.185255423
18/10/2017,1.177717583
17/10/2017,1.175088132
16/10/2017,1.179662616
13/10/2017,1.18357202
12/10/2017,1.184553423
11/10/2017,1.184553423
10/10/2017,1.181753723
09/10/2017,1.173846696
06/10/2017,1.173433466
05/10/2017,1.171508903
04/10/2017,1.17605551
03/10/2017,1.175364363
02/10/2017,1.173433466
29/09/2017,1.182033097
28/09/2017,1.178550383
27/09/2017,1.173158142
26/09/2017,1.17674747
25/09/2017,1.18652112
22/09/2017,1.196744854
21/09/2017,1.19232145
20/09/2017,1.199472232
19/09/2017,1.197748233
18/09/2017,1.195600191
15/09/2017,1.196315349
14/09/2017,1.187366421
13/09/2017,1.191753069
12/09/2017,1.195457262
11/09/2017,1.198322349
08/09/2017,1.201778632
07/09/2017,1.200912694
06/09/2017,1.194029851
05/09/2017,1.191753069
04/09/2017,1.191185229
01/09/2017,1.187648456
31/08/2017,1.189060642
30/08/2017,1.191185229
29/08/2017,1.202501203
25/08/2017,1.18708452
24/08/2017,1.18049817
23/08/2017,1.181614085
22/08/2017,1.176332196
21/08/2017,1.18147448
18/08/2017,1.174950065
17/08/2017,1.174536058
16/08/2017,1.170275015
15/08/2017,1.172058134
14/08/2017,1.178272652
11/08/2017,1.179245283
10/08/2017,1.174950065
09/08/2017,1.174536058
08/08/2017,1.173846696
07/08/2017,1.179662616
04/08/2017,1.174950065
03/08/2017,1.187930625
02/08/2017,1.185677022
01/08/2017,1.181055864
31/07/2017,1.178967225
28/07/2017,1.174674028
27/07/2017,1.166452817
26/07/2017,1.163061177
25/07/2017,1.166044776
24/07/2017,1.164279893
21/07/2017,1.165501166
20/07/2017,1.163467132
19/07/2017,1.151808339
18/07/2017,1.158077591
17/07/2017,1.147052076
14/07/2017,1.144557628
13/07/2017,1.140250855
12/07/2017,1.141943588
11/07/2017,1.141943588
10/07/2017,1.138952164
07/07/2017,1.139211666
06/07/2017,1.140250855
05/07/2017,1.132887731
04/07/2017,1.135202634
03/07/2017,1.136751165
30/06/2017,1.140380887
29/06/2017,1.14246544
28/06/2017,1.136363636
27/06/2017,1.128668172
26/06/2017,1.120322653
23/06/2017,1.119946243
22/06/2017,1.115697869
21/06/2017,1.114206128
20/06/2017,1.112718371
19/06/2017,1.116694584
16/06/2017,1.119946243
15/06/2017,1.1149515
14/06/2017,1.128031585
13/06/2017,1.120699316
12/06/2017,1.120322653
09/06/2017,1.118443127
08/06/2017,1.122082585
07/06/2017,1.126379815
06/06/2017,1.126760563
05/06/2017,1.125112511
02/06/2017,1.127649977
01/06/2017,1.122586439
31/05/2017,1.124606388
30/05/2017,1.117818019
26/05/2017,1.118568233
25/05/2017,1.121327652
24/05/2017,1.118443127
23/05/2017,1.122838536
22/05/2017,1.124732876
19/05/2017,1.119570085
18/05/2017,1.112842199
17/05/2017,1.114702932
16/05/2017,1.108278843
15/05/2017,1.097935881
12/05/2017,1.092179991
11/05/2017,1.086720278
10/05/2017,1.087074682
09/05/2017,1.089087345
08/05/2017,1.093135111
05/05/2017,1.098538943
04/05/2017,1.094451133
03/05/2017,1.090869423
02/05/2017,1.090512541
28/04/2017,1.088968747
27/04/2017,1.086484137
26/04/2017,1.08754758
25/04/2017,1.092776746
24/04/2017,1.086130118
21/04/2017,1.068832835
20/04/2017,1.076542147
19/04/2017,1.071352046
18/04/2017,1.069861988
13/04/2017,1.062360565
